nr	bezirk	bsn	schulname	plz	strasse	gesamtkosten
01	Mitte	01A04	Berlin-Kolleg	10551	Turmstr. 75	€6'710'000
01	Mitte	01G01	Grundschule am Arkonaplatz	10115	Ruppiner Str. 47-48	€2'450'000
01	Mitte	01G02	Papageno-Grundschule	10115	Bergstr. 58	€2'080'000
01	Mitte	01G04	Kastanienbaum-Grundschule	10119	Gipsstr. 23A	€5'360'000
01	Mitte	01G05	Grundschule Neues Tor	10115	Hannoversche Str. 20	€4'100'000
01	Mitte	01G07	GutsMuths-Grundschule	10179	Singerstr. 8	€4'250'000
01	Mitte	01G08	Grundschule am Brandenburger Tor	10117	Wilhelmstr. 52	€5'230'000
01	Mitte	01G10	City-Grundschule	10179	Sebastianstr. 57	€90'000
01	Mitte	01G11	Kurt-Tucholsky-Grundschule	10559	Rathenower Str. 18	€5'810'000
01	Mitte	01G15	Anne-Frank-Grundschule	10557	Paulstr. 20B	€2'120'000
01	Mitte	01G16	Moabiter Grundschule	10557	Paulstr. 28	€7'560'000
01	Mitte	01G18	Carl-Bolle-Grundschule	10551	Waldenserstr. 20-21	€9'950'000
01	Mitte	01G19	Hansa-Grundschule	10555	Lessingstr. 5	€1'480'000
01	Mitte	01G24	Gottfried-Röhl-Grundschule	13349	Ungarnstr. 75	€7'110'000
01	Mitte	01G25	Rudolf-Wissell-Grundschule	13357	Ellerbeker Str. 7-8	€7'270'000
01	Mitte	01G27	Gesundbrunnen-Grundschule	13357	Prinzenallee 8	€5'270'000
01	Mitte	01G28	Brüder-Grimm-Grundschule	13353	Tegeler Str. 18-19	€2'880'000
01	Mitte	01G29	Wilhelm-Hauff-Grundschule	13359	Gotenburger Str. 8	€1'630'000
01	Mitte	01G31	Wedding-Grundschule	13347	Antonstr. 10	€6'040'000
01	Mitte	01G32	Carl-Kraemer-Grundschule	13359	Zechliner Str. 4	€7'760'000
01	Mitte	01G35	Humboldthain-Grundschule	13355	Grenzstr. 7	€5'150'000
01	Mitte	01G36	Andersen-Grundschule	13359	Kattegatstr. 26	€3'790'000
01	Mitte	01G37	Heinrich-Seidel-Grundschule	13355	Ramlerstr. 9-10	€8'940'000
01	Mitte	01G38	Gustav-Falke-Grundschule	13355	Strelitzer Str. 42	€4'260'000
01	Mitte	01G39	Vineta-Grundschule	13355	Demminer Str. 27	€2'150'000
01	Mitte	01G40	Möwensee-Grundschule	13351	Afrikanische Str. 123-125	€6'620'000
01	Mitte	01G41	Erika-Mann-Grundschule	13347	Utrechter Str. 25-27	€5'520'000
01	Mitte	01G42	Anna-Lindh-Schule (Grundschule)	13351	Guineastr. 17-18	€10'860'000
01	Mitte	01G43	Albert-Gutzmann-Schule (Grundschule)	13357	Orthstr. 1	€7'440'000
01	Mitte	01G44	Allegro-Grundschule	10785	Lützowstr. 83-85	€3'900'000
01	Mitte	01G45	Leo-Lionni-Grundschule	13353	Müllerstr. 158	€9'530'000
01	Mitte	01G46	Grundschule am Koppenplatz	10115	Koppenplatz 12	€5'280'000
01	Mitte	01G47	Miriam-Makeba-Grundschule	10555	Zinzendorfstr. 15-16	€7'250'000
01	Mitte	01K01	Willy-Brandt-Schule	13357	Grüntaler Str. 5	€5'280'000
01	Mitte	01K02	Ernst-Schering-Schule	13353	Lütticher Str. 47-48	€11'020'000
01	Mitte	01K03	Ernst-Reuter-Schule	13355	Stralsunder Str. 57	€16'740'000
01	Mitte	01K04	Heinrich-von-Stephan-Schule (Gemeinschaftsschule)	10553	Neues Ufer 6	€6'980'000
01	Mitte	01K06	Herbert-Hoover-Schule (Integrierte Sekundarschule)	13357	Pankstr. 18-19	€820'000
01	Mitte	01K07	Hemingway-Schule	10115	Gartenstr. 10-17	€2'880'000
01	Mitte	01K08	Schule am Schillerpark (Integrierte Sekundarschule)	13349	Ofener Str. 6	€9'960'000
01	Mitte	01K09	Hedwig-Dohm-Schule (Integrierte Sekundarschule)	10559	Stephanstr. 27	€6'550'000
01	Mitte	01K10	Theodor-Heuss-Schule (Gemeinschaftsschule)	10559	Quitzowstr. 141	€10'930'000
01	Mitte	01S01	Schule am Zille-Park	13347	Ravenéstr. 10-12	€5'420'000
01	Mitte	01S05	Schule in der Charité	13353	Augustenburger Platz 1	€0
01	Mitte	01S06	Albert-Gutzmann-Schule	13357	Orthstr. 1	€0
01	Mitte	01S07	Charlotte-Pfeffer-Schule	10178	Berolinastr. 8	€0
01	Mitte	01Y02	John-Lennon-Gymnasium	10119	Zehdenicker Str. 17	€4'950'000
01	Mitte	01Y07	Französisches Gymnasium	10785	Derfflingerstr. 7	€6'130'000
01	Mitte	01Y08	Lessing-Gymnasium	13349	Schöningstr. 17	€9'630'000
01	Mitte	01Y09	Diesterweg-Schule (Gymnasium)	13357	Böttgerstr. 2-6	€1'080'000
01	Mitte	01Y11	Max-Planck-Schule (Gymnasium)	10179	Singerstr. 8A	€1'560'000
01	Mitte	01Y12	Gymnasium Tiergarten	10555	Altonaer Str. 26	€280'000
02	Friedrichshain-Kreuzberg	02G01	Spartacus-Grundschule	10249	Friedenstr. 40-45	€830'000
02	Friedrichshain-Kreuzberg	02G02	Hausburg-Grundschule	10249	Hausburgstr. 20	€6'600'000
02	Friedrichshain-Kreuzberg	02G03	Justus-von-Liebig-Grundschule	10247	Liebigstr. 18A	€5'430'000
02	Friedrichshain-Kreuzberg	02G04	Pettenkofer-Grundschule	10247	Pettenkoferstr. 20-24	€5'070'000
02	Friedrichshain-Kreuzberg	02G07	Ludwig-Hoffmann-Grundschule	10243	Lasdehner Str. 21-23	€1'710'000
02	Friedrichshain-Kreuzberg	02G08	Grundschule am Traveplatz	10247	Jessnerstr. 24-32	€3'040'000
02	Friedrichshain-Kreuzberg	02G09	Zille-Grundschule	10245	Boxhagener Str. 46	€1'180'000
02	Friedrichshain-Kreuzberg	02G10	Modersohn-Grundschule	10245	Niemannstr. 3	€510'000
02	Friedrichshain-Kreuzberg	02G11	Thalia-Grundschule	10245	Alt-Stralau 34	€650'000
02	Friedrichshain-Kreuzberg	02G12	Kurt-Schumacher-Grundschule	10969	Puttkamerstr. 19	€9'640'000
02	Friedrichshain-Kreuzberg	02G13	Charlotte-Salomon-Grundschule	10965	Großbeerenstr. 40	€4'510'000
02	Friedrichshain-Kreuzberg	02G14	Galilei-Grundschule	10969	Friedrichstr. 13	€4'850'000
02	Friedrichshain-Kreuzberg	02G16	Lenau-Grundschule	10961	Nostitzstr. 60	€11'630'000
02	Friedrichshain-Kreuzberg	02G18	Nürtingen-Grundschule	10997	Mariannenplatz 28	€13'480'000
02	Friedrichshain-Kreuzberg	02G19	Fanny-Hensel-Grundschule	10963	Schöneberger Str. 23	€2'180'000
02	Friedrichshain-Kreuzberg	02G20	Bürgermeister-Herz-Grundschule	10961	Wilmsstr. 10	€3'380'000
02	Friedrichshain-Kreuzberg	02G21	Reinhardswald-Grundschule	10961	Gneisenaustr. 73-74	€9'380'000
02	Friedrichshain-Kreuzberg	02G22	Jens-Nydahl-Grundschule	10999	Kohlfurter Str. 20	€8'080'000
02	Friedrichshain-Kreuzberg	02G23	Fichtelgebirge-Grundschule	10997	Görlitzer Ufer 2	€6'580'000
02	Friedrichshain-Kreuzberg	02G24	Otto-Wels-Grundschule	10969	Alexandrinenstr. 12	€6'240'000
02	Friedrichshain-Kreuzberg	02G26	Lemgo-Grundschule	10967	Böckhstr. 5	€6'020'000
02	Friedrichshain-Kreuzberg	02G27	Hunsrück-Grundschule	10999	Manteuffelstr. 79	€6'650'000
02	Friedrichshain-Kreuzberg	02G29	Heinrich-Zille-Grundschule	10997	Waldemarstr. 118	€4'040'000
