nr	bezirk	stnr	bsn	schulname	plz	strasse	prio1kosten
01	Mitte	01K03-01	01K03	Ernst-Reuter-Schule	13355	Stralsunder Str. 57	€15'920'000
01	Mitte	01G37-01	01G37	Heinrich-Seidel-Grundschule	13355	Ramlerstr. 9-10	€8'940'000
01	Mitte	01G45-01	01G45	Leo-Lionni-Grundschule	13353	Müllerstr. 158	€8'930'000
01	Mitte	01K08-01	01K08	Schule am Schillerpark (Integrierte Sekundarschule)	13349	Ofener Str. 6	€8'850'000
01	Mitte	01Y08-01	01Y08	Lessing-Gymnasium	13349	Schöningstr. 17	€8'770'000
01	Mitte	01G43-01	01G43	Albert-Gutzmann-Schule (Grundschule)	13357	Orthstr. 1	€7'440'000
01	Mitte	01G25-01	01G25	Rudolf-Wissell-Grundschule	13357	Ellerbeker Str. 7-8	€6'580'000
01	Mitte	01G18-01	01G18	Carl-Bolle-Grundschule	10551	Waldenserstr. 20-21	€6'460'000
01	Mitte	01G40-01	01G40	Möwensee-Grundschule	13351	Afrikanische Str. 123-125	€6'110'000
01	Mitte	01G47-01	01G47	Miriam-Makeba-Grundschule	10555	Zinzendorfstr. 15-16	€5'360'000
01	Mitte	01G32-01	01G32	Carl-Kraemer-Grundschule	13359	Zechliner Str. 4	€5'260'000
02	Friedrichshain-Kreuzberg	02G18-01	02G18	Nürtingen-Grundschule	10997	Mariannenplatz 28	€12'410'000
02	Friedrichshain-Kreuzberg	02G16-01	02G16	Lenau-Grundschule	10961	Nostitzstr. 60	€11'630'000
02	Friedrichshain-Kreuzberg	02Y08-01	02Y08	Hermann-Hesse-Oberschule	10967	Böckhstr. 16	€10'030'000
02	Friedrichshain-Kreuzberg	02K04-02	02K04	Lina-Morgenstern-Schule (Gemeinschaftsschule)	10961	Gneisenaustr. 7	€9'920'000
02	Friedrichshain-Kreuzberg	02G21-01	02G21	Reinhardswald-Grundschule	10961	Gneisenaustr. 73-74	€9'370'000
02	Friedrichshain-Kreuzberg	02S02-01	02S02	Gustav-Meyer-Schule	10999	Kohlfurter Str. 22	€9'190'000
02	Friedrichshain-Kreuzberg	02K08-01	02K08	Refik-Veseli-Schule (Integrierte Sekundarschule)	10997	Skalitzer Str. 55	€9'160'000
02	Friedrichshain-Kreuzberg	02Y03-01	02Y03	Heinrich-Hertz-Oberschule	10247	Rigaer Str. 81-82	€7'050'000
02	Friedrichshain-Kreuzberg	02G22-01	02G22	Jens-Nydahl-Grundschule	10999	Kohlfurter Str. 20	€6'720'000
02	Friedrichshain-Kreuzberg	02Y06-02	02Y06	Leibniz-Gymnasium	10961	Schleiermacherstr. 23	€6'660'000
02	Friedrichshain-Kreuzberg	02G23-01	02G23	Fichtelgebirge-Grundschule	10997	Görlitzer Ufer 2	€6'580'000
02	Friedrichshain-Kreuzberg	02G12-01	02G12	Kurt-Schumacher-Grundschule	10969	Puttkamerstr. 19	€6'290'000
02	Friedrichshain-Kreuzberg	02K02-01	02K02	Carl-von-Ossietzky-Schule (Gemeinschaftsschule)	10961	Blücherstr. 46	€5'810'000
02	Friedrichshain-Kreuzberg	02K10-01	02K10	Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule)	10961	Bergmannstr. 64	€5'780'000
02	Friedrichshain-Kreuzberg	02G02-02	02G02	Hausburg-Grundschule	10249	Hausburgstr. 20	€5'530'000
02	Friedrichshain-Kreuzberg	02G24-01	02G24	Otto-Wels-Grundschule	10969	Alexandrinenstr. 12	€5'150'000
03	Pankow	03Y14-03	03Y14	Primo-Levi-Gymnasium	13086	Pistoriusstr. 133	€12'130'000
03	Pankow	03K07-01	03K07	Tesla-Schule (Gemeinschaftsschule)	10407	Rudi-Arndt-Str. 18	€9'900'000
03	Pankow	03K10-01	03K10	Hufeland-Schule (Integrierte Sekundarschule)	13125	Walter-Friedrich-Str. 16-18	€8'790'000
03	Pankow	03Y15-01	03Y15	Max-Delbrück-Gymnasium	13156	Kuckhoffstr. 2-22	€8'180'000
03	Pankow	03K10-02	03K10	Hufeland-Schule (Integrierte Sekundarschule)	13125	Walter-Friedrich-Str. 16-18	€7'630'000
03	Pankow	03G17-02	03G17	Grundschule am Weißen See	13086	Amalienstr. 6	€7'510'000
03	Pankow	03Y14-02	03Y14	Primo-Levi-Gymnasium	13086	Pistoriusstr. 133	€7'470'000
03	Pankow	03G11-01	03G11	Schule am Falkplatz (Grundschule)	10437	Gleimstr. 49	€7'430'000
03	Pankow	03K04-01	03K04	Gustave-Eiffel-Schule	10409	Hanns-Eisler-Str. 78-80	€6'410'000
03	Pankow	03G14-01	03G14	Bornholmer Grundschule	10439	Ibsenstr. 17	€6'380'000
03	Pankow	03G02-01	03G02	Heinrich-Roller-Grundschule	10405	Heinrich-Roller-Str. 18	€5'140'000
03	Pankow	03G36-01	03G36	Elisabeth-Christinen-Grundschule	13156	Lindenberger Str. 12	€5'070'000
04	Charlottenburg-Wilmersdorf	04G23-02	04G23	Alt-Schmargendorf-Grundschule	14199	Reichenhaller Str. 8	€7'770'000
04	Charlottenburg-Wilmersdorf	04Y01-01	04Y01	Schiller-Gymnasium	10625	Schillerstr. 125-127	€7'350'000
04	Charlottenburg-Wilmersdorf	04Y07-01	04Y07	Friedrich-Ebert-Gymnasium	10713	Blissestr. 22	€6'690'000
05	Spandau	05K02-01	05K02	Carlo-Schmid-Oberschule (Integrierte Sekundarschule)	13581	Lutoner Str. 15-19	€12'710'000
05	Spandau	05K01-01	05K01	Martin-Buber-Oberschule (Integrierte Sekundarschule)	13589	Im Spektefeld 33	€12'140'000
05	Spandau	05K03-01	05K03	Bertolt-Brecht-Oberschule (Integrierte Sekundarschule)	13595	Wilhelmstr. 10	€10'580'000
05	Spandau	05K05-01	05K05	B.-Traven-Gemeinschaftsschule	13583	Recklinghauser Weg 26-32	€10'320'000
05	Spandau	05Y02-01	05Y02	Kant-Gymnasium	13585	Bismarckstr. 54	€10'120'000
05	Spandau	05Y04-01	05Y04	Carl-Friedrich-von-Siemens-Gymnasium	13629	Jungfernheideweg 79	€8'450'000
05	Spandau	05K08-01	05K08	Schule an der Haveldüne (Integrierte Sekundarschule)	13595	Jaczostr. 53-67	€7'830'000
05	Spandau	05G03-02	05G03	Birken-Grundschule	13585	Hügelschanze 8-9	€6'600'000
05	Spandau	05G15-01	05G15	Askanier-Grundschule	13583	Borkzeile 34	€5'880'000
05	Spandau	05G13-01	05G13	Bernd-Ryke-Grundschule	13599	Daumstr. 12	€5'310'000
