"",,Statistik,,,,planerisch gesichert,,,Planungen,,
Bz.,,Schüler,Kapazität,Differenz,,gepl. Kap.- erwartete,Differenz,,gepl. Kap.-,erwartete,notw. Kap.-
"",Bezirk,,,,Schüler,zuwachs Kapazität,,Schüler,zuwachs***,Kapazität,zuwachs
Nr.,,2015/16,31.12.2016,2015/16,2021/22*,bis 2021/22** 2021/22,2021/22,2024/25*,bis 2024/25,bis 2024/25,bis 2024/25
1,2,3,4,5,6,7 8,9,10,11,12,13
"",,,,4-3,,4+7,8-6,,,8+11,12-10
01,Mi,"105,7","111,5","5,8","142,9","30,5 142,0","-0,9","148,4","2,0","144,0","-4,4"
02,Fr-Kr,"88,3","103,0","14,7","126,0","7,0 110,0","-16,0","129,5","6,0","116,0","-13,5"
03,Pa,"124,3","130,5","6,2","173,9","24,0 154,5","-19,4","181,9","19,0","173,5","-8,4"
04,Ch-Wi,"81,3","87,5","6,2","94,6","7,5 95,0","0,4","96,9","1,0","96,0","-0,9"
05,Sp,"75,0","77,5","2,5","92,7","12,0 89,5","-3,2","95,5","5,0","94,5","-1,0"
06,St-Ze,"89,3","97,5","8,2","88,1","6,5 104,0","15,9","91,4","0,0","104,0","12,6"
07,Te-Sch,"98,0","106,5","8,5","111,7","9,5 116,0","4,3","116,4","0,0","116,0","-0,4"
08,Nk,"101,6","121,0","19,4","127,9","6,5 127,5","-0,4","135,6","6,0","133,5","-2,1"
09,Tr-Kö,"74,4","84,5","10,1","102,6","15,0 99,5","-3,1","109,2","2,5","102,0","-7,2"
10,Ma-He,"87,4","97,0","9,6","105,6","8,0 105,0","-0,6","108,2","0,0","105,0","-3,2"
11,Li,"82,4","81,0","-1,4","116,7","30,5 111,5","-5,2","120,7","5,0","116,5","-4,2"
12,Rd,"87,3","96,5","9,2","95,0","5,5 102,0","7,0","109,2","8,0","110,0","0,8"
"",Berlin,"1.095,0","1.194,0","99,0","1.377,7","162,5 1.356,5","-21,2","1.442,9","54,5","1.411,0","-31,9"
